customer_id,age,gender,region,purchase_count,total_amount,avg_rating,is_premium,signup_date
39,20,M,대구,7,67254,2.34,0,2023-08-26
40,56,M,경기,3,454184,4.67,0,2023-03-04
41,22,M,서울,2,19060,2.5,0,2023-08-04
42,37,F,부산,6,62237,1.43,0,2023-06-18
43,45,M,대구,8,256258,2.19,1,2023-09-07
44,31,F,경기,3,938601,4.03,1,2023-09-25
45,62,M,경기,2,245740,4.73,0,2023-08-10
46,49,F,부산,3,9243,2.37,0,2023-07-09
47,49,F,서울,6,86818,5.0,1,2023-09-20
48,66,F,대구,3,720599,3.19,1,2023-03-06
49,25,M,경기,6,296108,3.89,0,2023-12-19
50,56,F,대구,4,246849,2.01,0,2023-11-15
51,43,F,부산,8,400284,4.96,0,2023-12-02
52,52,F,대구,4,27795,2.2,0,2023-10-28
53,22,F,서울,7,1624624,5.0,1,2023-04-06
54,41,F,대구,5,479130,5.0,0,2023-01-25
55,31,M,부산,4,167650,2.48,0,2023-03-11
56,50,M,대구,6,323469,2.93,0,2023-11-21
57,63,M,경기,2,384145,4.67,0,2023-05-11
58,66,M,경기,2,433589,1.95,0,2023-10-03
59,26,M,부산,11,725328,2.06,0,2023-05-13
60,41,M,서울,10,218590,2.97,0,2023-09-03
61,24,F,부산,6,362011,3.78,0,2023-04-26
62,26,M,부산,3,94597,4.33,0,2023-07-11
63,36,M,서울,3,2609497,5.0,1,2023-02-15
64,30,F,서울,5,152361,4.55,1,2023-01-30
65,63,F,부산,3,117792,2.4,1,2023-10-11
66,44,M,경기,11,438573,2.58,0,2023-06-27
67,65,M,서울,5,694458,4.41,1,2023-04-29
68,69,F,서울,8,59332,4.58,0,2023-09-19
69,43,M,서울,6,180128,3.51,0,2023-09-30
70,44,M,서울,11,1002507,4.55,0,2023-09-11
71,30,F,서울,6,75579,1.92,1,2023-11-07
72,62,M,서울,5,552630,3.93,0,2023-05-17
73,25,F,경기,6,38691,4.56,0,2023-08-03
74,46,F,기타,5,184987,4.2,1,2023-05-05
75,32,F,서울,7,293153,4.69,0,2023-03-08
76,24,M,서울,2,245429,3.44,0,2023-07-06
77,66,F,경기,10,319301,2.1,1,2023-07-23
78,34,F,경기,4,260999,3.35,0,2023-07-11
79,37,F,경기,6,215980,3.69,0,2023-08-06
80,44,F,부산,6,452969,5.0,0,2023-08-28
81,28,F,서울,2,70988,4.22,1,2023-06-17
82,44,F,서울,7,163872,3.97,0,2023-05-24
83,59,M,부산,8,4980,3.41,1,2023-09-17
84,59,M,부산,4,327013,2.88,0,2023-01-03
85,45,M,대구,8,71997,1.99,0,2023-09-02
86,20,M,서울,5,490450,4.52,0,2023-07-08
87,43,F,부산,8,15983,3.49,0,2023-12-21
88,27,F,경기,6,85383,2.52,1,2023-09-23
89,29,M,부산,5,146237,4.72,0,2023-11-30
90,20,F,대구,4,170114,3.9,0,2023-01-30
91,66,F,경기,8,307341,1.73,1,2023-05-26
92,52,F,경기,6,212883,4.75,0,2023-03-07
93,36,F,경기,9,208814,3.09,0,2023-10-29
94,49,F,서울,7,682250,3.46,1,2023-09-13
95,41,F,서울,2,192777,5.0,1,2023-03-04
96,68,M,대구,3,312956,4.0,0,2023-08-03
97,60,F,서울,5,167130,4.56,0,2023-04-15
98,44,M,서울,5,265417,4.97,1,2023-10-31
99,48,F,서울,9,496024,4.38,1,2023-06-17
100,63,F,서울,6,1132,5.0,0,2023-11-29
101,56,F,서울,6,987636,4.37,1,2023-07-31
102,34,M,경기,9,485403,3.93,1,2023-07-09
103,28,M,서울,8,400676,4.31,0,2023-04-18
104,30,F,기타,4,159923,4.07,0,2023-12-08
105,25,F,대구,5,535120,4.04,0,2023-03-12
106,54,M,서울,3,128548,3.28,0,2023-02-08
107,26,F,대구,5,678929,3.65,1,2023-09-01
108,58,M,기타,6,527779,2.67,0,2023-02-26
109,61,F,부산,5,88232,2.28,0,2023-09-20
110,52,F,서울,7,445698,4.36,0,2023-06-07
111,37,M,서울,2,196744,1.84,0,2023-06-20
112,37,M,경기,5,64060,1.05,1,2023-07-21
113,53,F,대구,8,124198,5.0,0,2023-04-18
114,55,F,경기,3,8021,4.15,0,2023-11-17
115,56,F,기타,8,87980,4.97,0,2023-01-15
116,46,F,대구,9,371264,5.0,0,2023-01-19
117,36,F,경기,10,505088,2.41,0,2023-05-05
118,28,M,경기,6,1535441,1.97,1,2023-05-14
119,64,F,부산,5,389600,5.0,0,2023-03-08
120,26,F,기타,2,250113,4.37,1,2023-06-02
121,31,M,서울,3,229779,2.94,1,2023-10-29
122,24,M,서울,7,1564145,4.98,0,2023-11-04
123,32,F,서울,3,35925,5.0,0,2023-12-31
124,43,F,기타,7,270327,3.05,0,2023-03-15
125,49,M,기타,8,332229,3.45,1,2023-01-20
126,41,F,서울,6,21200,2.95,1,2023-03-02
127,36,F,부산,7,286531,4.43,0,2023-01-29
128,57,F,서울,6,1457706,4.19,0,2023-11-18
129,33,M,부산,6,55946,3.12,0,2023-12-06
130,48,M,부산,5,1848695,1.0,1,2023-07-07
131,49,F,서울,10,146045,4.0,0,2023-05-25
132,21,F,경기,4,917646,1.67,1,2023-03-11
133,55,M,기타,5,536227,4.73,0,2023-03-03
134,36,F,대구,8,85092,1.87,0,2023-04-29
135,28,M,부산,7,187760,2.67,1,2023-12-11
136,60,F,서울,5,201902,2.17,0,2023-03-09
137,44,F,기타,10,528985,3.81,1,2023-02-24
138,68,F,대구,6,49079,1.39,0,2023-01-16
139,43,F,서울,6,289644,5.0,1,2023-09-03
140,38,F,부산,9,636700,3.77,0,2023-06-20
141,65,M,기타,4,103851,1.55,0,2023-06-04
142,46,M,대구,7,120499,3.85,0,2023-06-27
143,20,M,기타,6,462187,3.22,0,2023-06-09
144,22,F,대구,3,1675774,2.43,1,2023-01-16
145,56,F,경기,5,784395,4.11,0,2023-03-29
146,25,F,기타,3,16178,2.47,1,2023-12-07
147,57,M,대구,5,174435,1.49,1,2023-04-17
148,64,M,대구,5,655607,3.4,0,2023-12-02
149,34,M,대구,7,25885,3.72,0,2023-06-21
150,23,F,경기,5,333505,4.19,0,2023-10-30
151,47,M,기타,8,106552,4.15,0,2023-08-19
152,44,F,서울,4,523539,2.24,0,2023-05-15
153,42,M,서울,10,835941,3.75,0,2023-02-15
154,64,M,서울,4,404532,2.59,1,2023-06-20
155,35,M,기타,3,595116,2.46,1,2023-05-28
156,64,M,부산,6,67477,3.43,1,2023-03-27
157,39,M,서울,5,130299,5.0,0,2023-10-06
158,34,F,대구,5,397160,5.0,0,2023-04-24
159,64,F,경기,5,983974,4.1,1,2023-11-06
160,52,F,기타,3,541572,3.44,0,2023-03-26
161,66,M,서울,3,244205,3.32,0,2023-03-08
162,26,M,대구,3,59973,2.0,0,2023-10-29
163,43,M,서울,7,47629,5.0,0,2023-09-24
164,23,F,서울,7,383584,2.42,0,2023-08-12
165,42,F,서울,7,216154,3.05,0,2023-07-07
166,45,M,경기,8,609110,1.56,1,2023-04-17
167,40,M,서울,10,36483,4.48,0,2023-02-18
168,48,F,기타,7,404268,2.5,1,2023-05-27
169,24,F,부산,5,1784,3.52,0,2023-10-12
170,45,M,기타,10,175181,3.63,1,2023-05-07
171,22,M,대구,1,230582,1.9,1,2023-11-03
172,45,F,경기,3,300470,5.0,0,2023-02-02
173,60,M,부산,4,102974,3.61,1,2023-12-19
174,29,M,대구,3,713006,2.15,1,2023-03-02
175,33,M,서울,4,173111,1.58,0,2023-02-12
176,42,M,경기,4,1437430,3.57,0,2023-11-04
177,32,F,경기,4,3225,3.3,0,2023-05-08
178,20,M,서울,4,1340964,4.94,1,2023-03-03
179,49,M,서울,4,301975,2.67,0,2023-09-15
180,52,M,기타,0,447711,2.45,0,2023-05-21
181,36,F,대구,6,58877,2.23,1,2023-09-19
182,64,F,서울,9,209134,5.0,1,2023-12-22
183,45,M,대구,6,258637,2.85,0,2023-07-28
184,59,F,대구,4,18854,2.32,0,2023-05-25
185,27,F,경기,4,258202,2.44,0,2023-04-14
186,31,M,서울,6,140224,2.22,0,2023-02-20
187,45,F,서울,4,46704,4.64,0,2023-04-10
188,63,F,경기,11,2454,3.35,0,2023-02-07
189,39,M,부산,4,53009,3.89,0,2023-09-25
190,56,M,경기,3,383490,1.94,0,2023-10-06
191,40,M,서울,7,818408,3.38,0,2023-10-01
192,34,F,서울,3,209655,5.0,0,2023-01-15
193,27,M,부산,4,164717,1.52,1,2023-01-12
194,32,M,경기,7,77570,2.34,0,2023-04-07
195,26,M,경기,7,323748,2.35,0,2023-05-12
196,26,F,서울,5,174544,4.77,0,2023-03-13
197,53,M,부산,7,44397,3.37,1,2023-05-16
198,28,M,서울,4,242815,4.9,0,2023-12-26
199,51,M,서울,6,159305,2.54,0,2023-10-17
200,55,F,부산,7,84007,5.0,0,2023-04-13
